id,url,domain,main_domain,creation_date,updated_date,control_over_dns,domain_indexed,known_hosting,is_archived,control_over_ssl,num_archives,between_archives_similarity,phish_archives_similarity,between_archives_distance,phish_archives_distance,is_on_root,is_subdomain,verified_category
66239a74a9efe18f4d85b329,https://yy2m.220d.cn/,yy2m.220d.cn,220d.cn,2023-06-21T11:47:23,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b32b,https://www.jlnqynz.cn/,www.jlnqynz.cn,jlnqynz.cn,2023-09-20T11:41:06,,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b32c,https://www.j1meqc.cn/,www.j1meqc.cn,j1meqc.cn,2023-05-26T04:30:50,,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b32d,https://www.gzshen.cn/,www.gzshen.cn,gzshen.cn,2023-09-19T01:51:04,,FALSE,FALSE,FALSE,TRUE,FALSE,2,-2,-2,69,196,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b32e,https://www.ery8fa.cn/,www.ery8fa.cn,ery8fa.cn,2023-05-26T04:33:59,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b32f,https://www.432g.cn/,www.432g.cn,432g.cn,2023-06-21T11:04:33,,FALSE,FALSE,FALSE,TRUE,TRUE,2,-2,-2,387,401,FALSE,TRUE,shared_domain
66239a74a9efe18f4d85b331,https://tongrenweixiao.com/,tongrenweixiao.com,tongrenweixiao.com,2023-08-09T18:05:28Z,2024-04-11T03:42:56Z,TRUE,FALSE,FALSE,TRUE,TRUE,2,-2,-2,26,105,TRUE,FALSE,compromised_domain
66239a74a9efe18f4d85b332,https://tllbvpb.cn/,tllbvpb.cn,tllbvpb.cn,2023-09-21T11:54:31,,TRUE,TRUE,FALSE,TRUE,FALSE,2,2,-2,14,189,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b333,https://shtkm7.220d.cn/,shtkm7.220d.cn,220d.cn,2023-06-21T11:47:23,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b334,https://sazjybp.cn/,sazjybp.cn,sazjybp.cn,2023-09-19T15:45:18,,TRUE,FALSE,FALSE,TRUE,TRUE,1,1,-1,-1,125,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b336,https://qhp5td.cn/,qhp5td.cn,qhp5td.cn,2023-05-26T04:34:04,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b337,https://omhhrkg.cn/,omhhrkg.cn,omhhrkg.cn,2023-09-21T16:10:28,,TRUE,FALSE,FALSE,TRUE,TRUE,2,-2,-2,106,177,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b338,https://olz2rc.cn/,olz2rc.cn,olz2rc.cn,2023-05-26T04:33:58,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b339,https://ojaawtr.cn/,ojaawtr.cn,ojaawtr.cn,2023-09-21T15:29:44,,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,-2,5,239,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b33a,https://o6ui1d.cn/,o6ui1d.cn,o6ui1d.cn,2023-05-26T04:33:31,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b33c,https://gs6.220d.cn/,gs6.220d.cn,220d.cn,2023-06-21T11:47:23,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE,attackers_domain
66239a74a9efe18f4d85b33d,https://gprinoz.cn/,gprinoz.cn,gprinoz.cn,2023-09-19T17:15:34,,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,-2,-2,TRUE,FALSE,attackers_domain
66239a74a9efe18f4d85b33e,https://f0qyuc.cn/,f0qyuc.cn,f0qyuc.cn,2023-05-26T04:34:00,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE,attackers_domain
