id,url,creation_date,updated_date,control_over_dns,domain_indexed,known_hosting,is_archived,control_over_ssl,num_archives,between_archives_similarity,phish_archives_similarity,between_archives_distance,phish_archives_distance,is_on_root,is_subdomain
662aa8fea9efe18f4d86008a,https://qqfront-fpcj2nse3-qquanteam.vercel.app/pt-BR,2020-01-28T03:03:04Z,2024-04-04T12:45:06Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,225,544,FALSE,TRUE
662a9f3ea9efe18f4d86005a,https://bt365-f4a558.webflow.io/,2013-05-08T02:20:57Z,2024-02-20T21:07:57Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,77,168,FALSE,TRUE
662a9f3ea9efe18f4d860057,https://docs.google.com/presentation/d/e/2PACX-1vTn90lCZ1y8yRHh3w9sBRW-w7F8xY39QCSUu1BmuV8DJYGM-f80zEmKnzSA03PNaNM_KP1eJDjJzhex/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,205,FALSE,TRUE
662a9f3ea9efe18f4d860056,https://flow.page/upfront0,2020-02-25T20:42:36Z,2024-04-10T20:42:36Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,260,63,FALSE,FALSE
662a9f3ea9efe18f4d860053,https://docs.google.com/presentation/d/e/2PACX-1vSMS-YEaWJcTUzf6px38g_k7RQNbHeIHezKand5rnWwxe4SJitr-3zHPZp9VGhzKTUZQebU_ql3-g3O/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,203,FALSE,TRUE
662a9f3ea9efe18f4d860052,https://simkacho.com/ariba/,2024-01-29T14:12:09Z,2024-04-26T08:38:37Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a9f3da9efe18f4d86004d,https://docs.google.com/presentation/d/e/2PACX-1vQ_qn45oMaZzR3_W3YTflUspnvPixfLUeL2z_EHnOOdPpDa2xnX1ijrJRtN9q-arnLjw8U5o4wZ5b2T/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,205,FALSE,TRUE
662a9e3fa9efe18f4d86004b,https://woupartaco.com/,expired,,TRUE,FALSE,FALSE,TRUE,TRUE,1,1,-1,-1,648,TRUE,FALSE
662a9e3fa9efe18f4d86004a,https://sbb05922ch.site,2024-02-16T06:42:36.0Z,2024-04-26T14:21:04.0Z,TRUE,FALSE,FALSE,TRUE,TRUE,1,1,-1,-1,97,TRUE,FALSE
662a9e3fa9efe18f4d860048,https://infoperograpgique.com/,2024-04-25T14:04:43Z,2024-04-25T14:04:43Z,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE
